Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost,Filename,Npofb20
4,79.57198443579766,RandomForest,none,none,none,0.0,0.0,0.5800627943485086,0.0,0.0,0.0,0.0,91.0,14.0,140.0,AVRO_RandomForest__4.csv,0.2142857142857142
4,79.57198443579766,NaiveBayes,none,none,none,0.0,0.0,0.7386185243328101,-0.0493827160493828,0.0,0.0,3.0,88.0,14.0,143.0,AVRO_NaiveBayes__4.csv,0.0714285714285714
4,79.57198443579766,IBk,Best First,none,none,0.25,0.1428571428571428,0.7095761381475667,0.0939597315436242,0.1818181818181818,2.0,6.0,85.0,12.0,126.0,AVRO_IBk_BestFirst_4.csv,0.3571428571428571
4,79.57198443579766,RandomForest,Best First,none,none,0.2857142857142857,0.1428571428571428,0.6134222919937206,0.1114982578397211,0.1904761904761904,2.0,5.0,86.0,12.0,125.0,AVRO_RandomForest_BestFirst_4.csv,0.3571428571428571
4,79.57198443579766,NaiveBayes,Best First,none,none,0.0,0.0,0.7421507064364207,-0.0344827586206899,0.0,0.0,2.0,89.0,14.0,142.0,AVRO_NaiveBayes_BestFirst_4.csv,0.2307692307692307
4,79.57198443579766,IBk,none,none,Sensitive Threshold,0.125,0.0714285714285714,0.5518053375196232,-0.0067114093959733,0.0909090909090909,1.0,7.0,84.0,13.0,137.0,AVRO_IBk_SensitiveThreshold_4.csv,0.1428571428571428
4,79.57198443579766,RandomForest,none,none,Sensitive Threshold,0.3333333333333333,0.1428571428571428,0.5894819466248038,0.1304347826086953,0.2,2.0,4.0,87.0,12.0,124.0,AVRO_RandomForest_SensitiveThreshold_4.csv,0.2857142857142857
4,79.57198443579766,NaiveBayes,none,none,Sensitive Threshold,0.25,0.1428571428571428,0.7386185243328101,0.0939597315436242,0.1818181818181818,2.0,6.0,85.0,12.0,126.0,AVRO_NaiveBayes_SensitiveThreshold_4.csv,0.1428571428571428
4,79.57198443579766,IBk,Best First,none,Sensitive Threshold,0.1875,0.2142857142857142,0.7095761381475667,0.0673575129533681,0.1999999999999999,3.0,13.0,78.0,11.0,123.0,AVRO_IBk_BestFirst_SensitiveThreshold_4.csv,0.3571428571428571
4,79.57198443579766,RandomForest,Best First,none,Sensitive Threshold,0.25,0.3571428571428571,0.576138147566719,0.1627906976744188,0.2941176470588235,5.0,15.0,76.0,9.0,105.0,AVRO_RandomForest_BestFirst_SensitiveThreshold_4.csv,0.2857142857142857
4,79.57198443579766,NaiveBayes,Best First,none,Sensitive Threshold,0.2702702702702703,0.7142857142857143,0.7421507064364207,0.2463533225283631,0.392156862745098,10.0,27.0,64.0,4.0,67.0,AVRO_NaiveBayes_BestFirst_SensitiveThreshold_4.csv,0.2142857142857142
4,79.57198443579766,IBk,none,SMOTE,none,0.125,0.0714285714285714,0.5596546310832025,-0.0067114093959733,0.0909090909090909,1.0,7.0,84.0,13.0,137.0,AVRO_IBk_SMOTE_4.csv,0.1428571428571428
4,79.57198443579766,RandomForest,none,SMOTE,none,0.0,0.0,0.5125588697017268,-0.0180995475113127,0.0,0.0,1.0,90.0,14.0,141.0,AVRO_RandomForest_SMOTE_4.csv,0.2857142857142857
4,79.57198443579766,NaiveBayes,none,SMOTE,none,0.5,0.0714285714285714,0.750392464678179,0.0948275862068965,0.125,1.0,1.0,90.0,13.0,131.0,AVRO_NaiveBayes_SMOTE_4.csv,0.0714285714285714
4,79.57198443579766,IBk,Best First,SMOTE,none,0.0,0.0,0.5525902668759811,-0.0629921259842519,0.0,0.0,4.0,87.0,14.0,144.0,AVRO_IBk_BestFirst_SMOTE_4.csv,0.2142857142857142
4,79.57198443579766,RandomForest,Best First,SMOTE,none,0.0,0.0,0.5,-0.0629921259842519,0.0,0.0,4.0,87.0,14.0,144.0,AVRO_RandomForest_BestFirst_SMOTE_4.csv,0.2857142857142857
4,79.57198443579766,NaiveBayes,Best First,SMOTE,none,1.0,0.0714285714285714,0.7480376766091051,0.1176470588235291,0.1333333333333333,1.0,0.0,91.0,13.0,130.0,AVRO_NaiveBayes_BestFirst_SMOTE_4.csv,0.2857142857142857
5,63.378545006165226,IBk,none,none,none,0.2222222222222222,0.1176470588235294,0.6686974789915966,0.1189320388349518,0.1538461538461538,2.0,7.0,273.0,15.0,157.0,AVRO_IBk__5.csv,0.25
5,63.378545006165226,RandomForest,none,none,none,0.5,0.0588235294117647,0.6716386554621848,0.0943497757847545,0.1052631578947368,1.0,1.0,279.0,16.0,161.0,AVRO_RandomForest__5.csv,0.4117647058823529
5,63.378545006165226,NaiveBayes,none,none,none,0.064516129032258,0.1176470588235294,0.4928571428571429,0.0101499772761702,0.0833333333333333,2.0,29.0,251.0,15.0,179.0,AVRO_NaiveBayes__5.csv,0.0588235294117647
5,63.378545006165226,IBk,Best First,none,none,0.1111111111111111,0.0588235294117647,0.5800420168067227,0.0388349514563114,0.0769230769230769,1.0,8.0,272.0,16.0,168.0,AVRO_IBk_BestFirst_5.csv,0.375
5,63.378545006165226,RandomForest,Best First,none,none,0.1428571428571428,0.0588235294117647,0.5152310924369747,0.0516690856313492,0.0833333333333333,1.0,6.0,274.0,16.0,166.0,AVRO_RandomForest_BestFirst_5.csv,0.2352941176470588
5,63.378545006165226,NaiveBayes,Best First,none,none,0.0,0.0,0.2701680672268907,-0.0174717368961973,0.0,0.0,3.0,277.0,17.0,173.0,AVRO_NaiveBayes_BestFirst_5.csv,0.125
5,63.378545006165226,IBk,none,none,Sensitive Threshold,0.1538461538461538,0.1176470588235294,0.6686974789915966,0.0880963627775145,0.1333333333333333,2.0,11.0,269.0,15.0,161.0,AVRO_IBk_SensitiveThreshold_5.csv,0.25
5,63.378545006165226,RandomForest,none,none,Sensitive Threshold,0.1428571428571428,0.1176470588235294,0.5832983193277311,0.0815485053258496,0.1290322580645161,2.0,12.0,268.0,15.0,162.0,AVRO_RandomForest_SensitiveThreshold_5.csv,0.4375
5,63.378545006165226,NaiveBayes,none,none,Sensitive Threshold,0.0789473684210526,0.1764705882352941,0.4928571428571429,0.0325732899022798,0.109090909090909,3.0,35.0,245.0,14.0,175.0,AVRO_NaiveBayes_SensitiveThreshold_5.csv,0.0
5,63.378545006165226,IBk,Best First,none,Sensitive Threshold,0.1176470588235294,0.1176470588235294,0.5800420168067227,0.064075630252101,0.1176470588235294,2.0,15.0,265.0,15.0,165.0,AVRO_IBk_BestFirst_SensitiveThreshold_5.csv,0.375
5,63.378545006165226,RandomForest,Best First,none,Sensitive Threshold,0.0952380952380952,0.1176470588235294,0.5389705882352941,0.0448354143019297,0.1052631578947368,2.0,19.0,261.0,15.0,169.0,AVRO_RandomForest_BestFirst_SensitiveThreshold_5.csv,0.3125
5,63.378545006165226,NaiveBayes,Best First,none,Sensitive Threshold,0.0,0.0,0.2701680672268907,-0.0545183827740238,0.0,0.0,14.0,266.0,17.0,184.0,AVRO_NaiveBayes_BestFirst_SensitiveThreshold_5.csv,0.1875
5,63.378545006165226,IBk,none,SMOTE,none,0.2,0.1176470588235294,0.667016806722689,0.110431045709077,0.1481481481481481,2.0,8.0,272.0,15.0,158.0,AVRO_IBk_SMOTE_5.csv,0.25
5,63.378545006165226,RandomForest,none,SMOTE,none,0.4444444444444444,0.2352941176470588,0.6294117647058823,0.2791262135922339,0.3076923076923076,4.0,5.0,275.0,13.0,135.0,AVRO_RandomForest_SMOTE_5.csv,0.375
5,63.378545006165226,NaiveBayes,none,SMOTE,none,0.0363636363636363,0.1176470588235294,0.4554621848739495,-0.0349492671927843,0.0555555555555555,2.0,53.0,227.0,15.0,203.0,AVRO_NaiveBayes_SMOTE_5.csv,0.0
5,63.378545006165226,IBk,Best First,SMOTE,none,0.1538461538461538,0.1176470588235294,0.6929621848739496,0.0880963627775145,0.1333333333333333,2.0,11.0,269.0,15.0,161.0,AVRO_IBk_BestFirst_SMOTE_5.csv,0.25
5,63.378545006165226,RandomForest,Best First,SMOTE,none,0.1111111111111111,0.0588235294117647,0.6151260504201681,0.0388349514563114,0.0769230769230769,1.0,8.0,272.0,16.0,168.0,AVRO_RandomForest_BestFirst_SMOTE_5.csv,0.3125
5,63.378545006165226,NaiveBayes,Best First,SMOTE,none,0.0317460317460317,0.2352941176470588,0.4443277310924369,-0.049964647654961,0.0559440559440559,4.0,122.0,158.0,13.0,252.0,AVRO_NaiveBayes_BestFirst_SMOTE_5.csv,0.0
6,79.35897435897436,IBk,none,none,none,0.375,0.75,0.9124203821656052,0.4828693790149896,0.5,3.0,5.0,152.0,1.0,15.0,AVRO_IBk__6.csv,0.75
6,79.35897435897436,RandomForest,none,none,none,0.5,0.25,0.9187898089171974,0.3221052631578945,0.3333333333333333,1.0,1.0,156.0,3.0,31.0,AVRO_RandomForest__6.csv,0.5
6,79.35897435897436,NaiveBayes,none,none,none,0.2727272727272727,0.75,0.7292993630573248,0.3773098409969918,0.3999999999999999,3.0,8.0,149.0,1.0,18.0,AVRO_NaiveBayes__6.csv,0.5
6,79.35897435897436,IBk,Best First,none,none,0.0625,0.25,0.696656050955414,0.0627425614489005,0.1,1.0,15.0,142.0,3.0,45.0,AVRO_IBk_BestFirst_6.csv,0.25
6,79.35897435897436,RandomForest,Best First,none,none,0.3333333333333333,0.25,0.8941082802547771,0.2701722574796014,0.2857142857142857,1.0,2.0,155.0,3.0,32.0,AVRO_RandomForest_BestFirst_6.csv,0.25
6,79.35897435897436,NaiveBayes,Best First,none,none,0.5,0.5,0.7468152866242038,0.4872611464968138,0.5,2.0,2.0,155.0,2.0,22.0,AVRO_NaiveBayes_BestFirst_6.csv,0.75
6,79.35897435897436,IBk,none,none,Sensitive Threshold,0.3333333333333333,0.75,0.9124203821656052,0.4423552696684811,0.4615384615384615,3.0,6.0,151.0,1.0,16.0,AVRO_IBk_SensitiveThreshold_6.csv,0.75
6,79.35897435897436,RandomForest,none,none,Sensitive Threshold,0.125,0.5,0.9060509554140128,0.1668822768434673,0.2,2.0,14.0,143.0,2.0,34.0,AVRO_RandomForest_SensitiveThreshold_6.csv,0.25
6,79.35897435897436,NaiveBayes,none,none,Sensitive Threshold,0.1666666666666666,0.75,0.7292993630573248,0.2419070041200709,0.2727272727272727,3.0,15.0,142.0,1.0,25.0,AVRO_NaiveBayes_SensitiveThreshold_6.csv,0.25
6,79.35897435897436,IBk,Best First,none,Sensitive Threshold,0.0526315789473684,0.25,0.696656050955414,0.0478738383553927,0.0869565217391304,1.0,18.0,139.0,3.0,48.0,AVRO_IBk_BestFirst_SensitiveThreshold_6.csv,0.25
6,79.35897435897436,RandomForest,Best First,none,Sensitive Threshold,0.1,0.5,0.8073248407643312,0.1306695464362851,0.1666666666666666,2.0,18.0,139.0,2.0,38.0,AVRO_RandomForest_BestFirst_SensitiveThreshold_6.csv,0.0
6,79.35897435897436,NaiveBayes,Best First,none,Sensitive Threshold,0.1764705882352941,0.75,0.7468152866242038,0.2557781201849002,0.2857142857142857,3.0,14.0,143.0,1.0,24.0,AVRO_NaiveBayes_BestFirst_SensitiveThreshold_6.csv,0.0
6,79.35897435897436,IBk,none,SMOTE,none,0.15,0.75,0.8734076433121019,0.2176025917926567,0.2499999999999999,3.0,17.0,140.0,1.0,27.0,AVRO_IBk_SMOTE_6.csv,0.75
6,79.35897435897436,RandomForest,none,SMOTE,none,0.0909090909090909,0.5,0.8869426751592356,0.1167082294264338,0.1538461538461538,2.0,20.0,137.0,2.0,40.0,AVRO_RandomForest_SMOTE_6.csv,0.25
