Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost
7,84.81481481481481,IBk,Best First,none,none,0.25,0.25,0.7916666666666666,0.2115384615384619,0.25,2.0,6.0,150.0,6.0,66.0
7,84.81481481481481,RandomForest,Best First,none,none,1.0,0.25,0.8044871794871795,0.38805970149253705,0.4,2.0,0.0,156.0,6.0,60.0
7,84.81481481481481,NaiveBayes,Best First,none,none,0.375,0.375,0.8721955128205128,0.3429487179487173,0.375,3.0,5.0,151.0,5.0,55.0
7,84.81481481481481,IBk,none,none,Sensitive Threshold,0.15,0.375,0.8088942307692307,0.15543071161048688,0.21428571428571425,3.0,17.0,139.0,5.0,67.0
7,84.81481481481481,RandomForest,none,none,Sensitive Threshold,0.2,0.375,0.7780448717948718,0.2106455266138166,0.26086956521739135,3.0,12.0,144.0,5.0,62.0
7,84.81481481481481,NaiveBayes,none,none,Sensitive Threshold,0.2727272727272727,0.375,0.8705929487179487,0.2748299319727896,0.3157894736842105,3.0,8.0,148.0,5.0,58.0
7,84.81481481481481,IBk,Best First,none,Sensitive Threshold,0.1875,0.375,0.7916666666666666,0.19782608695652207,0.25,3.0,13.0,143.0,5.0,63.0
7,84.81481481481481,RandomForest,Best First,none,Sensitive Threshold,0.11764705882352941,0.25,0.8249198717948718,0.10031347962382427,0.15999999999999998,2.0,15.0,141.0,6.0,75.0
7,84.81481481481481,NaiveBayes,Best First,none,Sensitive Threshold,0.23529411764705882,0.5,0.8721955128205128,0.2716823406478579,0.31999999999999995,4.0,13.0,143.0,4.0,53.0
7,84.81481481481481,IBk,none,SMOTE,none,0.16666666666666666,0.625,0.8125,0.20166898470097355,0.2631578947368421,5.0,25.0,131.0,3.0,55.0
7,84.81481481481481,RandomForest,none,SMOTE,none,0.16666666666666666,0.5,0.8249198717948718,0.19078947368421034,0.25,4.0,20.0,136.0,4.0,60.0
7,84.81481481481481,NaiveBayes,none,SMOTE,none,0.15789473684210525,0.375,0.8774038461538461,0.16488845780795322,0.22222222222222218,3.0,16.0,140.0,5.0,66.0
7,84.81481481481481,IBk,Best First,SMOTE,none,0.1724137931034483,0.625,0.8129006410256411,0.209850107066381,0.2702702702702703,5.0,24.0,132.0,3.0,54.0
7,84.81481481481481,RandomForest,Best First,SMOTE,none,0.17647058823529413,0.375,0.8337339743589743,0.18599791013584108,0.24,3.0,14.0,142.0,5.0,64.0
7,84.81481481481481,NaiveBayes,Best First,SMOTE,none,0.2727272727272727,0.375,0.8685897435897436,0.2748299319727896,0.3157894736842105,3.0,8.0,148.0,5.0,58.0
8,75.05226480836237,IBk,none,none,none,0.0,0.0,0.6211856171039845,-0.04373177842565564,0.0,0.0,15.0,328.0,15.0,165.0
8,75.05226480836237,RandomForest,none,none,none,0.0,0.0,0.6222546161321671,-0.03002251688766526,0.0,0.0,8.0,335.0,15.0,158.0
8,75.05226480836237,NaiveBayes,none,none,none,0.12121212121212122,0.26666666666666666,0.7007774538386783,0.11572187229838223,0.16666666666666666,4.0,29.0,314.0,11.0,139.0
8,75.05226480836237,IBk,Best First,none,none,0.21052631578947367,0.26666666666666666,0.6965014577259475,0.19772453025340478,0.23529411764705882,4.0,15.0,328.0,11.0,125.0
8,75.05226480836237,RandomForest,Best First,none,none,0.16666666666666666,0.06666666666666667,0.7134110787172012,0.07304442627418938,0.09523809523809522,1.0,5.0,338.0,14.0,145.0
8,75.05226480836237,NaiveBayes,Best First,none,none,0.11764705882352941,0.13333333333333333,0.7482021379980563,0.08423168280650428,0.125,2.0,15.0,328.0,13.0,145.0
8,75.05226480836237,IBk,none,none,Sensitive Threshold,0.0,0.0,0.6211856171039845,-0.04520625353173782,0.0,0.0,16.0,327.0,15.0,166.0
8,75.05226480836237,RandomForest,none,none,Sensitive Threshold,0.0,0.0,0.5917395529640428,-0.05029337803855744,0.0,0.0,20.0,323.0,15.0,170.0
8,75.05226480836237,NaiveBayes,none,none,Sensitive Threshold,0.11904761904761904,0.3333333333333333,0.7007774538386783,0.12117413558967943,0.1754385964912281,5.0,37.0,306.0,10.0,137.0
8,75.05226480836237,IBk,Best First,none,Sensitive Threshold,0.1724137931034483,0.3333333333333333,0.6965014577259475,0.1820991802177131,0.22727272727272724,5.0,24.0,319.0,10.0,124.0
8,75.05226480836237,RandomForest,Best First,none,Sensitive Threshold,0.13793103448275862,0.26666666666666666,0.6633624878522838,0.13398736728934282,0.18181818181818182,4.0,25.0,318.0,11.0,135.0
8,75.05226480836237,NaiveBayes,Best First,none,Sensitive Threshold,0.15789473684210525,0.4,0.7482021379980563,0.17696534708982803,0.22641509433962267,6.0,32.0,311.0,9.0,122.0
8,75.05226480836237,IBk,none,SMOTE,none,0.0,0.0,0.5836734693877551,-0.06392284400583177,0.0,0.0,38.0,305.0,15.0,188.0
8,75.05226480836237,RandomForest,none,SMOTE,none,0.0,0.0,0.5234207968901846,-0.0591715976331366,0.0,0.0,30.0,313.0,15.0,180.0
8,75.05226480836237,NaiveBayes,none,SMOTE,none,0.06521739130434782,0.2,0.5145772594752187,0.0375403265226313,0.09836065573770492,3.0,43.0,300.0,12.0,163.0
8,75.05226480836237,IBk,Best First,SMOTE,none,0.06382978723404255,0.2,0.6559766763848397,0.03550466660252136,0.0967741935483871,3.0,44.0,299.0,12.0,164.0
8,75.05226480836237,RandomForest,Best First,SMOTE,none,0.0,0.0,0.6298347910592809,-0.05771609179606991,0.0,0.0,28.0,315.0,15.0,178.0
8,75.05226480836237,NaiveBayes,Best First,SMOTE,none,0.12195121951219512,0.3333333333333333,0.726044703595724,0.12488043362737791,0.17857142857142858,5.0,36.0,307.0,10.0,136.0
9,87.33286418015481,IBk,none,none,none,0.25,0.11764705882352941,0.6057380007217611,0.10596026490066217,0.15999999999999998,2.0,6.0,157.0,15.0,156.0
9,87.33286418015481,RandomForest,none,none,none,0.3333333333333333,0.058823529411764705,0.7163478888487911,0.07375643224699818,0.1,1.0,2.0,161.0,16.0,162.0
9,87.33286418015481,NaiveBayes,none,none,none,0.375,0.17647058823529413,0.6485023457235655,0.19110690633869487,0.24,3.0,5.0,158.0,14.0,145.0
9,87.33286418015481,IBk,Best First,none,none,0.4,0.23529411764705882,0.6578852399855648,0.24336283185840737,0.29629629629629634,4.0,6.0,157.0,13.0,136.0
9,87.33286418015481,RandomForest,Best First,none,none,0.4,0.11764705882352941,0.686394803320101,0.1451187335092354,0.1818181818181818,2.0,3.0,160.0,15.0,153.0
9,87.33286418015481,NaiveBayes,Best First,none,none,0.25,0.11764705882352941,0.6901840490797546,0.10596026490066217,0.15999999999999998,2.0,6.0,157.0,15.0,156.0
9,87.33286418015481,IBk,none,none,Sensitive Threshold,0.3,0.17647058823529413,0.6057380007217611,0.16371681415929182,0.22222222222222224,3.0,7.0,156.0,14.0,147.0
9,87.33286418015481,RandomForest,none,none,Sensitive Threshold,0.23076923076923078,0.17647058823529413,0.6986647419704078,0.12868091972569584,0.20000000000000004,3.0,10.0,153.0,14.0,150.0
9,87.33286418015481,NaiveBayes,none,none,Sensitive Threshold,0.23076923076923078,0.17647058823529413,0.6485023457235655,0.12868091972569584,0.20000000000000004,3.0,10.0,153.0,14.0,150.0
9,87.33286418015481,IBk,Best First,none,Sensitive Threshold,0.35714285714285715,0.29411764705882354,0.6578852399855648,0.25940438871473315,0.3225806451612903,5.0,9.0,154.0,12.0,129.0
9,87.33286418015481,RandomForest,Best First,none,Sensitive Threshold,0.1875,0.17647058823529413,0.6946950559364851,0.09933283914010388,0.1818181818181818,3.0,13.0,150.0,14.0,153.0
9,87.33286418015481,NaiveBayes,Best First,none,Sensitive Threshold,0.25,0.23529411764705882,0.6901840490797546,0.16604892512972624,0.24242424242424243,4.0,12.0,151.0,13.0,142.0
9,87.33286418015481,IBk,none,SMOTE,none,0.25,0.4117647058823529,0.6499458679177192,0.21936205931729139,0.3111111111111111,7.0,21.0,142.0,10.0,121.0
9,87.33286418015481,RandomForest,none,SMOTE,none,0.20689655172413793,0.35294117647058826,0.6800793937206785,0.1609542089388539,0.2608695652173913,6.0,23.0,140.0,11.0,133.0
9,87.33286418015481,NaiveBayes,none,SMOTE,none,0.23529411764705882,0.23529411764705882,0.6519307109346806,0.15553951642006486,0.23529411764705882,4.0,13.0,150.0,13.0,143.0
9,87.33286418015481,IBk,Best First,SMOTE,none,0.22580645161290322,0.4117647058823529,0.6439913388668351,0.19325072501977325,0.29166666666666663,7.0,24.0,139.0,10.0,124.0
9,87.33286418015481,RandomForest,Best First,SMOTE,none,0.18518518518518517,0.29411764705882354,0.7022735474557922,0.1259640102827765,0.22727272727272727,5.0,22.0,141.0,12.0,142.0
9,87.33286418015481,NaiveBayes,Best First,SMOTE,none,0.2857142857142857,0.23529411764705882,0.6515698303861421,0.1888714733542318,0.2580645161290323,4.0,10.0,153.0,13.0,140.0
