@relation avro_Training_8

@attribute LOC numeric
@attribute authors_number numeric
@attribute revisions_number numeric
@attribute touched_loc numeric
@attribute total_add_lines numeric
@attribute average_add_lines numeric
@attribute max_add_lines numeric
@attribute total_churn numeric
@attribute max_churn numeric
@attribute number_fix numeric
@attribute cyclomatic_complexity numeric
@attribute average_churn numeric
@attribute days_between_commits numeric
@attribute buggy {'YES', 'NO'}

@data
189,0,0,0,0,0.00,0,0,0,0,44,0.00,0.00,NO
47,0,0,0,0,0.00,0,0,0,0,29,0.00,0.00,NO
36,0,0,0,0,0.00,0,0,0,0,8,0.00,0.00,NO
112,0,0,0,0,0.00,0,0,0,0,44,0.00,0.00,NO
179,0,0,0,0,0.00,0,0,0,0,40,0.00,0.00,NO
149,0,0,0,0,0.00,0,0,0,0,29,0.00,0.00,NO
60,0,0,0,0,0.00,0,0,0,0,20,0.00,0.00,NO
86,0,0,0,0,0.00,0,0,0,0,20,0.00,0.00,NO
246,0,0,0,0,0.00,0,0,0,0,81,0.00,0.00,NO
43,0,0,0,0,0.00,0,0,0,0,11,0.00,0.00,NO
254,0,0,0,0,0.00,0,0,0,0,11,0.00,0.00,NO
84,0,0,0,0,0.00,0,0,0,0,22,0.00,0.00,NO
15,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
50,0,0,0,0,0.00,0,0,0,0,13,0.00,0.00,NO
55,0,0,0,0,0.00,0,0,0,0,6,0.00,0.00,NO
45,0,0,0,0,0.00,0,0,0,0,7,0.00,0.00,NO
54,0,0,0,0,0.00,0,0,0,0,7,0.00,0.00,NO
13,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
79,1,1,6,0,0.00,0,6,6,0,14,6.00,0.00,NO
27,1,1,52,52,52.00,52,52,52,0,6,52.00,0.00,NO
70,1,1,8,8,8.00,8,8,8,0,5,8.00,0.00,NO
10,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
166,1,2,13,6,3.00,5,3,2,0,31,1.50,11.00,NO
147,1,3,14,8,2.67,4,4,2,0,23,1.33,23.50,NO
30,0,0,0,0,0.00,0,0,0,0,5,0.00,0.00,NO
5,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
74,1,1,2,1,1.00,1,0,0,0,13,0.00,0.00,NO
66,1,1,3,2,2.00,2,1,1,0,13,1.00,0.00,NO
17,1,1,3,2,2.00,2,1,1,0,5,1.00,0.00,NO
27,1,1,54,54,54.00,54,54,54,0,3,54.00,0.00,NO
128,1,1,205,205,205.00,205,205,205,0,10,205.00,0.00,NO
75,1,1,121,121,121.00,121,121,121,0,4,121.00,0.00,NO
68,1,1,107,107,107.00,107,107,107,0,8,107.00,0.00,NO
38,1,1,74,74,74.00,74,74,74,0,8,74.00,0.00,NO
50,1,4,91,84,21.00,59,79,59,0,8,19.75,13.00,NO
335,1,11,720,389,35.36,160,450,186,4,94,40.91,8.60,NO
