@relation bookkeeper_Training_4

@attribute LOC numeric
@attribute authors_number numeric
@attribute revisions_number numeric
@attribute touched_loc numeric
@attribute total_add_lines numeric
@attribute average_add_lines numeric
@attribute max_add_lines numeric
@attribute total_churn numeric
@attribute max_churn numeric
@attribute number_fix numeric
@attribute cyclomatic_complexity numeric
@attribute average_churn numeric
@attribute days_between_commits numeric
@attribute buggy {'YES', 'NO'}

@data
100,1,2,102,101,50.50,96,100,96,1,4,50.00,68.00,NO
81,1,1,81,81,81.00,81,81,81,0,3,81.00,0.00,NO
98,1,1,98,98,98.00,98,98,98,0,8,98.00,0.00,NO
341,1,1,341,341,341.00,341,341,341,0,52,341.00,0.00,NO
113,1,2,11,5,2.50,3,3,2,0,4,1.50,46.00,NO
58,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
127,1,2,8,3,1.50,2,2,2,0,10,1.00,46.00,NO
376,2,4,92,51,12.75,23,32,14,1,40,8.00,15.33,NO
107,1,3,18,11,3.67,7,8,6,1,8,2.67,23.00,NO
31,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
32,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
227,0,0,0,0,0.00,0,0,0,0,19,0.00,0.00,NO
70,1,1,70,70,70.00,70,70,70,0,2,70.00,0.00,NO
215,0,0,0,0,0.00,0,0,0,0,18,0.00,0.00,NO
273,1,1,6,4,4.00,4,2,2,1,41,2.00,0.00,NO
460,1,1,8,5,5.00,5,2,2,1,42,2.00,0.00,NO
138,1,1,9,5,5.00,5,1,1,1,13,1.00,0.00,NO
358,1,1,3,2,2.00,2,1,1,1,40,1.00,0.00,NO
1248,2,3,13,10,3.33,8,7,5,3,146,2.33,5.50,YES
51,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
157,1,1,5,4,4.00,4,3,3,1,17,3.00,0.00,NO
31,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
981,1,1,55,54,54.00,54,53,53,0,86,53.00,0.00,YES
180,0,0,0,0,0.00,0,0,0,0,31,0.00,0.00,NO
262,1,1,14,8,8.00,8,4,4,1,45,4.00,0.00,NO
